('172.16.133.36:64958', '67.217.66.99:443'): 27505 bytes
('172.16.133.36:64954', '67.217.65.99:443'): 27505 bytes
('172.16.133.24:55774', '172.16.139.250:5500'): 52264 bytes
('172.16.133.82:61253', '216.137.33.209:443'): 926 bytes
('172.16.133.82:61254', '216.137.33.209:443'): 920 bytes
('172.16.133.82:61255', '216.137.33.209:443'): 866 bytes
('172.16.133.82:61256', '216.137.33.209:443'): 920 bytes
('172.16.133.82:61257', '216.137.33.209:443'): 866 bytes
('96.43.146.176:443', '172.16.133.75:58053'): 3065 bytes
('172.16.133.82:61258', '74.125.226.222:443'): 16821 bytes
('172.16.133.41:52362', '173.194.75.103:443'): 9167 bytes
('205.203.132.1:80', '172.16.133.68:56917'): 8101 bytes
('67.217.66.49:443', '172.16.133.60:62042'): 13650 bytes
('172.16.133.33:57817', '172.16.139.250:5440'): 1142 bytes
('67.217.65.49:443', '172.16.133.60:62039'): 13650 bytes
('67.217.64.49:443', '172.16.133.60:62041'): 13650 bytes
('173.194.43.7:443', '172.16.133.53:53992'): 660 bytes
('172.16.133.23:61949', '157.56.236.102:443'): 300 bytes
('172.16.133.29:49318', '157.56.237.150:443'): 360 bytes
('172.16.133.24:56083', '172.16.139.250:5462'): 2760 bytes
('74.125.226.222:443', '172.16.133.82:61258'): 2818 bytes
('132.245.1.150:443', '172.16.133.85:60808'): 89102 bytes
('172.16.133.85:60806', '132.245.1.150:443'): 23745 bytes
('216.137.33.209:443', '172.16.133.82:61253'): 6770 bytes
('216.137.33.209:443', '172.16.133.82:61254'): 6466 bytes
('216.137.33.209:443', '172.16.133.82:61256'): 6466 bytes
('216.137.33.209:443', '172.16.133.82:61257'): 6770 bytes
('216.137.33.209:443', '172.16.133.82:61255'): 6770 bytes
('172.16.133.85:51683', '216.115.208.199:443'): 28179 bytes
('67.217.66.99:443', '172.16.133.36:64958'): 17296 bytes
('67.217.65.99:443', '172.16.133.36:64954'): 17296 bytes
('67.217.64.99:443', '172.16.133.36:64956'): 17218 bytes
('172.16.133.68:60656', '172.16.139.250:5440'): 1142 bytes
('173.194.75.103:443', '172.16.133.41:52362'): 5660 bytes
('132.245.1.150:443', '172.16.133.85:60806'): 4080 bytes
('172.16.133.85:60808', '132.245.1.150:443'): 3066 bytes
